"t","r"
-2.76109096873552,-0.0005497362974487
-2.67915055446792,-0.000503575721778504
-2.60665412200615,-0.000645881909594581
-2.53999073733576,-0.000344946183506889
-2.47638275910867,-0.000616954305294071
-2.41027490550186,-0.00125189056164832
-2.34944457106758,5.05403813595429e-05
-2.28611436125357,-0.000293556311567245
-2.22250638861442,0.000177652345888513
-2.15667630499229,8.91588809748267e-05
-2.09334609954385,0.00043231719897574
-2.02946036722278,0.000225827216237429
-1.96585240052082,2.54328644464508e-05
-1.90141114324797,0.000327151266308778
-1.83808094338747,0.000275252839174511
-1.7747507452732,-0.000166406131829722
-1.71058725641342,-0.000400748929521577
-1.64614600507775,-0.000518616157655249
-1.58392686751904,0.000135699434403502
-1.52170773118269,-0.000134589776502048
-1.45921083254507,0.000555797518685175
-1.39726946305018,0.000477999371895299
-1.33366151136579,0.000866212655513898
-1.27144238096662,0.000693668892223664
-1.20950101601193,9.10323175337124e-05
-1.14728188858135,-0.000122161533080312
-1.08506276272237,6.71102745636309e-05
-1.02256587438751,-7.6813753169036e-05
-0.96062451537,-0.000159464938403797
-0.898405393876601,0.00091380947676134
-0.836464037827682,0.000272545448305017
-0.774244919477496,-3.08773680604002e-05
-0.710359218937811,0.000145851291423416
-0.648417867429089,2.89829793025387e-05
-0.586476517317351,-0.000277008844812521
-0.523979641031474,-0.00014416009051843
-0.4623160577612,-0.000478236604220417
-0.397874837333802,-0.000439440829735349
-0.335655729460996,-0.000773675414056707
-0.273714387032669,-9.83505475857793e-05
-0.21149528195383,-0.000344946215326325
-0.149276178621221,-9.4624160959289e-05
-0.0870570766855963,0.000161616805214204
-0.024837976321578,0.000786220380319724
0.0373811226454563,0.000521376640939653
0.0993224561680108,0.000326075946195603
0.161263788293581,-0.000688346381099048
0.225149465783034,0.000627286208399913
0.287090794940013,6.32266762672362e-05
0.349309886223637,0.000200518441455078
0.411251212412026,-0.000222005394405533
0.473748064949177,0.000274185111407199
0.537633734580595,0.000629094827681254
0.59985282010166,0.000668854289582854
0.661794140527491,-0.000732113038534377
0.724013223254588,-0.000552820922738562
0.786232304410078,-0.000883898961676843
0.849006911739707,-0.000451153865891563
0.910948226402979,0.00111554079505027
0.973167303367518,-0.000185148959749415
1.03538637893507,0.000120053858846725
1.09732768940739,0.000186051884407012
1.16010228957748,0.000106940133950295
1.22232136095408,-0.000577045720338787
1.28426266723545,0.00043424786676316
1.34648173581809,0.000453782335060327
1.40870080317836,0.000552164051846882
1.47203092376003,0.000492519794883517
1.53397222462809,5.13471331822224e-05
1.59619128797203,-0.000707749985195183
1.65813258604612,0.000401097431289577
1.81118036230328,0.001031922079473
1.87312165618641,0.000343120073240222
1.93534071237082,0.000116894278793911
1.99755976733286,-0.000557883041825802
2.05950105754891,0.000141596896796825
2.12338669155724,3.50000989799426e-05
2.1856057428522,1.29504837982353e-05
2.24754702922655,-7.68930404511092e-05
2.30976607825141,0.000439861682252296
2.37198512587929,-6.53471993175003e-05
2.43503746303031,-0.000785334297495721
2.49725650856271,-0.000491870522127069
2.55947555269813,0.000244757000728457
2.62141683226218,0.000169419515348768
2.6836358741275,-0.000385648311829079
2.74752149661072,-0.000888047442408113
2.80946277285693,-0.000189858422434797
2.87168181157904,0.000582648050241552
2.9339008492534,-0.00048677514892248
2.99584212235641,0.000257219813587506
