"t","m","merr"
5.827829368059990520e+04,1.832443408357639925e+01,5.345724603653460166e-02
5.828131538189990533e+04,1.834269587813449931e+01,5.294770443882949873e-02
5.828433270830009860e+04,1.846951563981960120e+01,6.193419163265709987e-02
5.828729421300019749e+04,1.841747802555950031e+01,5.424246125663009788e-02
5.829631071759990300e+04,1.599461350322580167e+01,3.644932259254719809e-02
5.830229465280009754e+04,1.491442265671990164e+01,3.658296096183950158e-02
5.830533594910009560e+04,1.527306983733140022e+01,2.582316683114030051e-02
5.830823208330009948e+04,1.668215981515669810e+01,4.450717437661649845e-02
5.831418896989990026e+04,1.821576682749339682e+01,5.612601470393499548e-02
5.831925100689990359e+04,1.815908327666289779e+01,4.674886335508800228e-02
5.832225179400019260e+04,1.674181289982839971e+01,3.180041453365210075e-02
5.832629187500009721e+04,1.707789987152680311e+01,4.584795848894750170e-02
5.833316112270019221e+04,1.714846881023559888e+01,2.224802586052819844e-02
5.833622056710019388e+04,1.693984647170999835e+01,3.299826175201270306e-02
5.834316567130009935e+04,1.820892294499449804e+01,5.262512597079060245e-02
5.834618439809980191e+04,1.822349961313059907e+01,5.435523436937259728e-02
5.835016923609980586e+04,1.642419719632099984e+01,4.067761197136889745e-02
5.835324833330000547e+04,1.542133463062750032e+01,3.778065157605729751e-02
5.835622708329980378e+04,1.502473829771669855e+01,3.130246728744220247e-02
5.835922783559980599e+04,1.535935361407919864e+01,5.006771573800890274e-02
5.836215202549980313e+04,1.682269373316439953e+01,3.279605199511889668e-02
5.836515076390000468e+04,1.812685052545969810e+01,4.702443725079850229e-02
5.836814792820019647e+04,1.828737638175260116e+01,5.715557638550040204e-02
5.837112943289989926e+04,1.831494754762339738e+01,6.165966011941340086e-02
5.837412753470009920e+04,1.818951728981399896e+01,5.150566859642460166e-02
5.837714861109990306e+04,1.821880807824519977e+01,4.987671699692169947e-02
5.838623231479990500e+04,1.845947337512200193e+01,1.205570134149270001e-01
5.838911101849980332e+04,1.838102881886289808e+01,6.518609636727920598e-02
5.851154556709989993e+04,1.518714568401980181e+01,3.465103764281809995e-02
5.854054538189990126e+04,1.861094186557869889e+01,1.211668825311769948e-01
5.855754093750009633e+04,1.847250936679260391e+01,9.066316195624360419e-02
5.856046030090000568e+04,1.851520995824369820e+01,1.020320724879830027e-01
5.857247646990000067e+04,1.513635768924340042e+01,2.839505117422740088e-02
5.857543920140009868e+04,1.590334216293830139e+01,2.948302073777000001e-02
5.858048152780019882e+04,1.842449116939360110e+01,6.960004558053829726e-02
5.858648724539999967e+04,1.828551594340679998e+01,6.162883937207579849e-02
5.859742893519999780e+04,1.854735543851939994e+01,1.028846137120969784e-01
5.860542018519990233e+04,1.872871934643189817e+01,1.090969526201450018e-01
5.860838002309990407e+04,1.889303590890410334e+01,1.422283001308410066e-01
5.861242019680000521e+04,1.868469222168489807e+01,1.076645286225430126e-01
5.861639707180019468e+04,1.867013074018279895e+01,1.031040648007490179e-01
5.862737789349999366e+04,1.855305826134469882e+01,8.340361959780040468e-02
5.863233097219980118e+04,1.850721708858239722e+01,9.747513718327198429e-02
5.863535906249980326e+04,1.881627251880710006e+01,1.059927462902850032e-01
5.863831107639989932e+04,1.871310654347799840e+01,1.136569183739870037e-01
5.864133218749990192e+04,1.884673265835850131e+01,1.264298424914040153e-01
5.864431416669999453e+04,1.876305192169089864e+01,1.063272512885369975e-01
5.864727458330009540e+04,1.889043224536469978e+01,1.500103023247000289e-01
5.865031515049980226e+04,1.878802199828339781e+01,1.596816392335899948e-01
5.865340157409990206e+04,1.876800350361610015e+01,1.071744891396269883e-01
5.865734194440019201e+04,1.871205937433910194e+01,1.192174915024240139e-01
5.866932900460019300e+04,1.503397102797429952e+01,3.436394319517829810e-02
5.867222950229980779e+04,1.596766866920270012e+01,3.622945870666519769e-02
5.868127812500019354e+04,1.835637827991070026e+01,8.146661814432759607e-02
5.868417244210000354e+04,1.832764467475929848e+01,7.471630228211019464e-02
5.869119068290009454e+04,1.832281722785100087e+01,6.267134989901919362e-02
5.869718756939980813e+04,1.546444191279390168e+01,3.071488719993269861e-02
5.870017211809990113e+04,1.712952545349859790e+01,3.896370422548320334e-02
5.872523568290010007e+04,1.542602903762340105e+01,2.756755286403339902e-02
5.873222953699990467e+04,1.840350761716489814e+01,7.608373729576309308e-02
5.874412076390019502e+04,1.869827563648719959e+01,1.070136189977909935e-01
5.876110800930019468e+04,1.860536689801110199e+01,1.179136692464080038e-01
5.878108931710010074e+04,1.861630160365029951e+01,1.817410300711949922e-01
5.879010967590010114e+04,1.848514462228889954e+01,1.189585626089049997e-01
5.879507729170009407e+04,1.870482108003119848e+01,1.566869737384110062e-01
